ppm,Lip 1,Lip 2,Lip 3,Lip 4,Lip 5,Lip 6,Lip 7,Lip 8,Lip 9,Lip10,Lip11,Lip12,Lip13,Lip14,Lip15,Lip16,Lip17,Lip18,Lip19,Lip20,Lip21,Lip22,Lip23,Lip24,Lip25,Lip26,Lip27,Lip28,Lip29,Lip30,Lip31,Lip32,Lip33,Lip34,Lip35,Lip36,Lip37,Lip38,Lip39,Lip40
9.432831228,429020.9125,1301212.677,1027903.39,972274.7342,1385433.676,1275566.391,5137457.587,1750192.842,2354200.916,851503.7587,533458.2266,1543512.405,881390.6765,1730505.276,1348411.661,1198982.828,1020197.157,876591.9671,3485165.409,2333651.99,279840.3319,468822.2888,1081752.107,689180.6416,3354889.505,1821210.513,1766944.967,980389.0344,1041059.126,1986102.591,1421340.95,1077727.801,2057986.361,847202.0129,1285354.722,1199094.625,339289.0188,1991008.694,962285.5142,1509529.642
9.435387217,189384.5241,1218096.587,1168432.39,834976.6077,1599419.911,933011.6202,5293574.702,2140934.398,2774307.216,971266.1231,622891.8774,1967309.572,1301770.894,1355221.757,1288823.551,1051747.612,1159424.643,905243.5809,3552718.493,2594746.306,111424.1703,910340.8668,1010963.277,645257.5526,3610404.601,1795802.36,1512386.824,838576.2737,1576250.152,1819030.18,1503102.106,1106703.714,2756814.817,973092.9827,1256630.669,1339090.902,812843.9004,1563976.914,1030329.533,1379095.764
9.437943206,202431.9704,1398552.693,1377693.335,702437.7242,1451641.675,1026692.244,5121900.34,1909489.292,2604340.363,1199135.827,414661.5582,1673733.617,644557.3801,1711412.037,1171473.365,1085792.326,1141963.462,1083334.542,3887694.593,2347513.673,361338.026,820891.391,948188.0248,633771.4965,3611438.04,1668911.727,1526074.332,891420.4222,1411306.198,1809730.358,1034391.317,805093.9187,2319436.271,1192733.899,1066422.438,1112683.15,652092.2657,1801843.701,1317171.437,1401493.097
9.440499195,414672.1525,1265320.334,1097881.944,1080750.595,1461639.19,723459.1864,5064510.56,1955397.981,2613977.973,935988.8117,639084.8183,1504155.808,1150124.944,1710846.616,1021430.869,1252997.341,986589.0967,691722.2261,3713382.578,2118475.718,568922.4299,750627.2487,835261.4592,776346.2689,3476885.386,1921974.667,1651331.391,753219.45,1084064.242,1988828.512,1364751.671,961296.8988,2150745.165,1089061.939,940038.6417,759621.3809,449770.447,1833681.729,1235582.311,1303513.293
9.443055184,324759.7398,1257426.493,951450.6535,808823.7265,1145285.686,649336.0232,4878652.385,1976095.361,2489329.245,1066225.927,760245.0961,1675130.289,1149016.161,1674120.59,1090512.918,1353658.525,1182461.123,834279.2607,3771756.335,2602834.322,257171.0672,730166.9936,1093346.473,492419.7707,3480085.593,1883565.979,1755880.647,882871.5994,1283549.265,1741055.08,1446556.962,1150644.088,2479923.762,1016979.107,1140877.782,1099873.553,435987.4875,1528060.894,992447.6593,1218888.272
9.445611173,422815.6169,1072940.451,1161247.116,1030739.577,1479227.573,873257.4793,5436888.468,1972802.192,2294348.925,1068809.83,404568.7089,1671087.692,937752.8043,1596626.108,1616588.09,1129705.229,1140619.149,944287.987,3729410.52,2621516.067,207742.3596,1020628.704,773464.0472,791905.2449,3504019.899,1923028.924,1354384.814,876362.4863,1610472.98,1904669.104,1266923.17,1188359.156,2396960.012,676333.2218,1033093.485,988306.169,394366.9346,1863966.667,1434100.144,1554111.005
9.448167162,535166.9247,1670398.902,1323914.819,614255.7306,1348814.522,1008393.764,5057542.104,1857978.918,2293463.369,1109417.554,476986.6119,1732649.526,1057148.935,1809932.454,1097714.449,1295680.679,914883.156,659417.5099,3669525.963,2530538.662,353129.4164,756744.1007,931840.0945,707036.6116,3594537.486,1817902.29,1567181.975,862313.7844,1270801.061,2301470.727,1535368.136,925315.7813,2304828.031,649192.6726,1143848.065,998503.9496,584264.5238,1499859.449,907927.1524,1307830.248
9.450723151,508655.5091,1072247.621,891307.5652,735620.1778,1364735.559,814707.3628,4837833.76,1966828,2702579.192,1104672.267,374004.5355,1985688.013,1148719.673,1482594.551,1190167.076,1351085.622,887838.2715,811852.0658,3981963.593,2479443.502,186237.9245,817531.9209,1011079.876,862000.0106,3250135.231,1837493.144,1739850.097,973949.2608,959809.249,1820345.045,1442644.74,1139513.662,2217733.524,555310.5517,1445591.914,770361.3598,633327.4344,1910685.644,728216.2076,1452730.919
9.45327914,547466.9251,1351845.724,814274.6002,665571.0551,1593942.647,753538.5968,4954135.879,2302963.225,2676089.069,1058318.865,462884.8464,1926809.306,976335.9981,1745123.987,1501853.382,1014423.277,958736.9731,1029749.577,3660601.718,2314793.902,-159653.0483,656973.1971,1170556.475,397054.1405,3415306.189,1859084.16,1704447.395,892810.4664,1283800.044,2163874.196,1269735.174,1077732.458,2329626.646,808233.9801,1246209.509,943074.3835,538941.2243,1743939.013,1145422.834,1626272.723
9.455835129,435296.9203,1462681.696,940960.3382,753097.7882,1180359.533,1165306.544,5295137.012,1770943.469,2462582.191,1126861.931,396943.1086,1811624.831,950580.4421,1864410.974,1345779.074,859815.4051,884193.6533,915268.8578,3921661.187,2339425.367,417898.9247,757057.7409,996798.4646,622656.2971,3648871.236,2132086.931,1420360.844,689555.094,1160357.722,1974322.048,1621680.474,835419.3727,2463163.12,962784.7568,1198983.998,955515.9054,637261.0711,1975005.465,1312773.025,1202113.153
9.458391118,602442.3874,1474766.46,1329183.034,862772.0089,1665547.684,790808.692,5412871.564,2008811.159,2581185.662,1615192.507,471591.9803,1655739.222,1031893.274,1484846.769,1654386.727,1127317.391,1136812.906,560306.0673,4046994.244,2336863.987,173565.363,822933.1841,882268.5988,568233.6779,3410022.923,1954192.925,1721183.847,1010148.763,1335928.975,2007460.303,1297194.866,994007.6665,2089044.785,997402.7725,1186685.797,1140627.6,781580.3419,1557050.616,1111168.127,1688565.347
9.460947108,193218.2871,1411438.338,955930.2298,854445.3757,1346352.172,1039365.314,5457064.585,2118472.763,2732194.788,537870.7749,563511.5868,1605031.729,1507623.161,1613324.195,1148924.421,969937.4169,1046764.779,962773.4462,3760225.244,2535121.444,376667.783,594224.2912,681920.6399,617693.667,3465134.976,1743822.291,1965610.321,972126.9417,1071046.351,1865828.147,1431454.706,922904.293,2114235.741,866924.1124,1330761.357,801497.4096,731527.075,1841105.174,1096892.115,1343244.068
9.463503097,622163.322,1666913.19,1133775.658,723235.8836,1297071.972,1139552.87,5156940.694,2405721.055,2616501.089,1155657.114,507884.12,1919412.441,1524760.161,1626203.678,1297647.434,1369639.918,894364.7156,961683.438,3764404.718,2631574.469,372007.8368,589890.7117,881334.0611,374730.5601,3519377.407,1952532.426,1702177.791,649323.3044,1056405.533,2082015.648,1529366.623,869037.2565,2188818.001,1032026.416,1171938.286,1066311.805,656956.5022,1809768.423,1189976.54,1128928.285
9.466059086,567094.8712,1352525.071,1117510.887,868195.6359,1700102.452,900282.1995,5149118.854,1791270.324,2257120.039,1250638.503,363754.2143,2198471.107,1177971.778,1579734.63,1232156.325,1293207.469,1157882.006,752367.9362,4121774.645,2379800.521,398318.8527,883908.8033,736776.635,377144.436,3932194.583,2098409.69,1332249.228,794756.8759,1201343.122,1811118.138,1327807.566,963129.5688,2470008.996,928415.0451,1193738.898,961221.2471,859443.6028,1932880.102,1157539.775,1441257.517
9.468615075,447224.5321,1227355.878,1399700.902,925791.4683,1496131.793,974873.9528,5511697.312,2011493.782,2532721.06,1482524.732,742539.5388,2049746.238,983231.1845,1557701.195,1235994.145,1354681.418,1295093.528,1244663.929,3724364.739,2680167.938,468387.7682,767634.0643,793247.9657,331622.4048,3830831.291,1706431.633,1766808.298,954531.3843,1127149.931,2021925.651,1362415.007,1033417.205,2613525.34,886513.1472,1482642.76,905777.0732,555423.3711,1909729.995,1142480.095,1112555.373
9.471171064,535721.7988,1870043.77,1376583.992,863537.0369,1307864.309,1253680.585,5362467.415,1834391.764,2858054.641,967792.2022,396320.9702,1648246.18,1064013.414,1665553.355,1369447.988,1350827.704,1131985.075,825665.4768,4039369.644,2502541.458,111902.4708,990274.4331,1118966.559,427189.5304,3444616.777,2086565.708,1326741.933,877704.3881,829345.0975,2025578.387,1129127.891,1088444.719,2548282.52,917863.946,1254999.342,1090652.587,735587.209,1806725.447,1331930.872,1130232.71
9.473727053,381419.5842,1594112.552,1076611.711,1038312.861,1252324.219,1052987.027,4958295.296,2115983.205,2885097.532,1245043.551,581790.329,2082109.435,1457087.519,1666564.168,904575.2463,1459811.979,1173666.442,777591.0682,3889326.349,2413702.913,370219.0828,650619.3843,898595.6814,637386.9194,3546807.541,1916383.973,1530219.48,633041.9115,1380037.287,2046477.12,1381130.509,1061739.159,1939490.877,1106901.333,1440087.299,901727.4732,692361.6219,1532948.108,1185354.236,1222722.391
